The following are 1000 x-y points
Out of which we will choose the 30 closest points
-40.0,147.0
-115.25,-147.25
-151.25,-102.0
-198.75,124.5
-81.0,-38.25
177.5,-190.5
-50.5,72.0
-127.5,129.25
24.25,-104.0
65.25,186.5
-197.5,111.0
-201.75,8.25
188.75,130.75
237.0,208.25
150.75,-52.75
243.0,9.0
-126.75,54.5
-233.75,-91.0
-222.75,-111.75
242.5,211.5
-145.25,-70.5
239.5,74.25
176.5,-214.75
-237.25,223.0
-176.25,-95.75
249.0,-64.75
115.75,211.0
-153.5,152.75
134.75,231.5
189.5,140.5
79.75,-163.25
-117.75,55.0
75.5,-111.0
-145.75,198.0
-41.75,225.75
-231.25,206.75
-202.0,94.75
215.5,-180.75
-29.0,239.25
-202.25,72.5
-73.5,78.0
-203.75,199.5
-128.25,-66.5
190.75,197.5
199.25,216.5
198.25,-233.0
-149.25,183.0
213.5,83.75
-178.5,-133.5
-196.75,235.25
-86.25,-0.25
78.0,15.5
-181.75,27.0
-230.5,139.0
-150.75,-27.25
-186.25,38.75
234.25,-72.75
-204.5,-21.0
202.75,-99.75
-114.0,76.5
77.0,-111.5
-150.25,105.25
-50.25,-10.0
196.25,80.5
-169.75,-13.0
-13.0,-57.5
69.5,-28.0
-206.75,174.0
-63.75,-195.0
-133.5,-195.5
-200.5,-156.25
73.25,-170.5
-190.0,101.5
146.75,-116.25
-175.25,232.5
-211.0,63.75
180.0,-144.5
-208.25,25.0
-169.25,181.5
10.5,-103.75
-218.75,-121.75
-67.5,-232.25
-242.5,58.0
-9.75,147.5
186.25,85.75
-230.0,-90.0
-248.5,-109.75
64.0,-200.0
-108.0,-141.5
85.5,-35.5
237.75,-43.5
82.5,-14.25
80.75,10.5
209.25,-71.25
8.75,-151.75
-38.25,111.25
132.25,82.0
17.0,153.5
114.5,-16.25
108.75,-242.5
-219.75,81.5
75.0,-86.0
-84.75,-159.5
170.0,-217.75
173.75,-129.25
49.25,-177.75
113.0,107.75
-33.75,-132.5
227.75,189.0
95.0,-192.0
-224.25,-160.25
208.25,-140.5
-29.5,127.25
-138.5,195.5
-173.0,-117.75
-241.25,179.0
-119.0,151.5
-4.0,-76.75
114.0,96.5
-19.5,104.25
-108.25,36.0
-244.25,-62.25
244.25,-17.0
7.75,-197.0
-0.25,-234.25
-211.5,-38.75
71.0,112.5
-188.0,1.25
218.25,162.5
179.0,-120.0
57.0,103.0
210.5,-35.0
-63.0,51.75
160.5,-84.25
-94.75,-1.25
42.25,-190.0
-100.75,-96.75
-121.0,90.75
203.25,-108.0
216.25,-142.0
-146.5,-204.5
-200.75,-90.75
232.0,-56.0
-192.25,249.25
34.0,45.25
168.75,-211.0
-238.75,-227.5
113.5,-179.0
65.75,-9.0
104.25,-230.5
-12.0,141.75
238.75,132.0
54.0,-222.5
-179.25,223.25
34.25,-233.5
-64.5,240.5
52.0,-45.0
172.5,210.0
